delivery_id,order_id,warehouse_id,dispatch_time,delivery_time,shipping_cost
D20125,ORD10126,WH-South,2026-02-07 20:36:00,2026-02-07 21:48:00,119.84
D20126,ORD10127,WH-Central,2026-02-03 23:14:00,2026-02-04 00:05:00,40.07
D20127,ORD10128,WH-Central,2026-03-01 03:29:00,2026-03-01 06:30:00,58.29
D20128,ORD10129,WH-West,2026-03-17 08:08:00,2026-03-17 12:39:00,83.25
D20129,ORD10130,WH-South,2026-01-16 10:58:00,2026-01-16 11:28:00,78.57
D20130,ORD10131,WH-Central,2026-03-27 11:21:00,2026-03-27 13:28:00,111.23
D20131,ORD10132,WH-North,2026-03-14 11:23:00,2026-03-14 15:40:00,86.98
D20132,ORD10133,WH-East,2026-01-31 19:10:00,2026-01-31 22:20:00,57.26
D20133,ORD10134,WH-Central,2026-01-24 10:17:00,2026-01-24 12:47:00,49.33
D20134,ORD10135,WH-West,2026-03-28 20:19:00,2026-03-28 22:53:00,79.8
D20135,ORD10136,WH-West,2026-03-01 06:31:00,2026-03-01 08:02:00,42.14
D20136,ORD10137,WH-South,2026-02-01 01:01:00,2026-02-01 03:20:00,44.82
D20137,ORD10138,WH-North,2026-03-11 01:04:00,,88.04
D20138,ORD10139,WH-Central,2026-03-01 03:22:00,,92.95
D20139,ORD10140,WH-North,2026-01-13 15:20:00,2026-01-13 16:46:00,100.39
D20140,ORD10141,WH-North,2026-02-01 12:45:00,2026-02-01 15:00:00,111.32
D20141,ORD10142,WH-West,2026-02-19 06:59:00,2026-02-19 07:36:00,93.78
D20142,ORD10143,WH-Central,2026-02-24 02:16:00,,59.38
D20143,ORD10144,WH-North,2026-02-08 13:07:00,,54.24
D20144,ORD10145,WH-North,2026-02-14 01:01:00,2026-02-14 05:54:00,49.36
D20145,ORD10146,WH-Central,2026-02-08 04:27:00,2026-02-08 09:08:00,54.13
D20146,ORD10147,WH-Central,2026-01-25 05:25:00,2026-01-25 08:04:00,102.04
D20147,ORD10148,WH-Central,2026-01-21 13:48:00,2026-01-21 14:45:00,44.73
D20148,ORD10149,WH-North,2026-03-14 08:29:00,2026-03-14 10:52:00,57.7
D20149,ORD10150,WH-East,2026-02-16 22:47:00,2026-02-17 01:55:00,99.42
D20150,ORD10151,WH-Central,2026-03-13 14:40:00,2026-03-13 16:01:00,68.9
D20151,ORD10152,WH-West,2026-02-17 00:32:00,,57.23
D20152,ORD10153,WH-West,2026-03-03 18:12:00,2026-03-03 20:31:00,35.81
D20153,ORD10154,WH-West,2026-03-13 07:42:00,2026-03-13 11:06:00,32.13
D20154,ORD10155,WH-West,2026-03-27 10:26:00,,40.56
D20155,ORD10156,WH-Central,2026-02-21 04:01:00,2026-02-21 08:32:00,63.61
D20156,ORD10157,WH-Central,2026-01-28 23:29:00,2026-01-29 01:59:00,56.88
D20157,ORD10158,WH-East,2026-03-04 03:51:00,,31.95
D20158,ORD10159,WH-West,2026-02-19 16:16:00,2026-02-19 20:01:00,101.3
D20159,ORD10160,WH-East,2026-03-14 09:56:00,2026-03-14 11:35:00,102.05
D20160,ORD10161,WH-Central,2026-02-25 08:38:00,2026-02-25 12:14:00,103.54
D20161,ORD10162,WH-Central,2026-01-22 02:29:00,2026-01-22 07:03:00,34.83
D20162,ORD10163,WH-East,2026-02-06 05:54:00,2026-02-06 08:01:00,71.07
D20163,ORD10164,WH-West,2026-01-27 17:39:00,2026-01-27 21:08:00,105.82
D20164,ORD10165,WH-East,2026-02-20 02:23:00,2026-02-20 04:22:00,71.46
D20165,ORD10166,WH-Central,2026-01-23 03:17:00,2026-01-23 04:16:00,96.8
D20166,ORD10167,WH-South,2026-01-01 14:54:00,2026-01-01 17:03:00,107.68
D20167,ORD10168,WH-North,2026-03-08 23:54:00,2026-03-09 04:01:00,97.93
D20168,ORD10169,WH-East,2026-03-27 15:36:00,2026-03-27 20:06:00,41.62
D20169,ORD10170,WH-North,2026-03-08 21:26:00,2026-03-08 22:52:00,80.59
D20170,ORD10171,WH-North,2026-01-10 22:53:00,2026-01-10 23:56:00,102.92
D20171,ORD10172,WH-East,2026-01-07 17:34:00,2026-01-07 19:32:00,52.89
D20172,ORD10173,WH-West,2026-03-26 21:49:00,2026-03-27 01:31:00,61.4
D20173,ORD10174,WH-South,2026-01-07 18:23:00,2026-01-07 20:51:00,99.77
D20174,ORD10175,WH-West,2026-01-29 23:15:00,2026-01-30 03:58:00,69.64
D20175,ORD10176,WH-North,2026-01-15 21:34:00,2026-01-16 00:33:00,113.93
D20176,ORD10177,WH-South,2026-02-24 02:59:00,,74.57
D20177,ORD10178,WH-East,2026-01-12 01:19:00,2026-01-12 02:05:00,87.09
D20178,ORD10179,WH-West,2026-03-05 23:10:00,,95.67
D20179,ORD10180,WH-North,2026-02-16 13:46:00,2026-02-16 18:02:00,58.69
D20180,ORD10181,WH-West,2026-01-17 13:41:00,2026-01-17 17:27:00,87.56
D20181,ORD10182,WH-North,2026-03-30 23:53:00,2026-03-31 00:55:00,91.9
D20182,ORD10183,WH-North,2026-02-19 01:06:00,2026-02-19 02:56:00,61.03
D20183,ORD10184,WH-South,2026-03-10 18:34:00,2026-03-10 21:17:00,52.77
D20184,ORD10185,WH-West,2026-03-01 07:20:00,2026-03-01 08:50:00,92.76
D20185,ORD10186,WH-West,2026-03-09 05:35:00,2026-03-09 10:13:00,68.9
D20186,ORD10187,WH-East,2026-02-16 18:13:00,2026-02-16 22:35:00,73.53
D20187,ORD10188,WH-East,2026-01-09 09:02:00,2026-01-09 09:37:00,63.81
D20188,ORD10189,WH-Central,2026-03-20 22:00:00,2026-03-21 00:44:00,95.8
D20189,ORD10190,WH-North,2026-02-17 03:31:00,2026-02-17 06:55:00,36.36
D20190,ORD10191,WH-South,2026-03-03 11:18:00,2026-03-03 15:18:00,72.23
D20191,ORD10192,WH-East,2026-03-24 06:53:00,2026-03-24 07:23:00,44.03
D20192,ORD10193,WH-West,2026-02-21 17:19:00,2026-02-21 21:18:00,102.16
D20193,ORD10194,WH-South,2026-01-27 12:45:00,2026-01-27 14:48:00,56.6
D20194,ORD10195,WH-South,2026-01-12 01:30:00,2026-01-12 02:45:00,93.96
D20195,ORD10196,WH-West,2026-02-06 00:20:00,2026-02-06 02:42:00,77.84
D20196,ORD10197,WH-North,2026-01-06 22:21:00,2026-01-07 00:11:00,52.34
D20197,ORD10198,WH-North,2026-01-27 15:17:00,2026-01-27 16:46:00,54.95
D20198,ORD10199,WH-West,2026-02-28 16:45:00,,84.97
D20199,ORD10200,WH-Central,2026-02-21 01:26:00,2026-02-21 01:59:00,74.2
D20200,ORD10201,WH-West,2026-02-15 08:47:00,,31.8
D20201,ORD10202,WH-South,2026-01-14 14:45:00,2026-01-14 18:36:00,99.04
D20202,ORD10203,WH-Central,2026-03-23 05:48:00,2026-03-23 09:53:00,50.29
D20203,ORD10204,WH-East,2026-02-05 19:13:00,2026-02-05 22:16:00,60.38
D20204,ORD10205,WH-South,2026-02-21 11:21:00,2026-02-21 15:07:00,100.02
D20205,ORD10206,WH-Central,2026-01-04 16:58:00,2026-01-04 21:45:00,46.38
D20206,ORD10207,WH-North,2026-01-08 14:01:00,2026-01-08 18:55:00,62.22
D20207,ORD10208,WH-Central,2026-02-25 09:46:00,2026-02-25 11:51:00,97.56
D20208,ORD10209,WH-North,2026-01-14 04:20:00,2026-01-14 06:01:00,57.64
D20209,ORD10210,WH-North,2026-01-03 08:31:00,2026-01-03 09:10:00,76.57
D20210,ORD10211,WH-Central,2026-02-02 04:44:00,2026-02-02 08:04:00,37.91
D20211,ORD10212,WH-Central,2026-03-22 11:46:00,2026-03-22 16:27:00,53.32
D20212,ORD10213,WH-West,2026-02-26 01:19:00,,43.08
D20213,ORD10214,WH-Central,2026-01-19 23:06:00,2026-01-20 00:45:00,113.03
D20214,ORD10215,WH-North,2026-03-15 06:45:00,2026-03-15 09:18:00,74.79
D20215,ORD10216,WH-South,2026-02-13 10:06:00,2026-02-13 11:10:00,105.54
D20216,ORD10217,WH-South,2026-02-16 03:50:00,2026-02-16 08:28:00,97.86
D20217,ORD10218,WH-West,2026-01-24 03:56:00,2026-01-24 08:10:00,54.68
D20218,ORD10219,WH-East,2026-02-06 08:26:00,2026-02-06 12:03:00,84.14
D20219,ORD10220,WH-South,2026-03-16 04:44:00,2026-03-16 07:29:00,46.8
D20220,ORD10221,WH-North,2026-01-04 10:58:00,2026-01-04 11:45:00,73.96
D20221,ORD10222,WH-West,2026-01-26 14:08:00,2026-01-26 15:08:00,118.11
D20222,ORD10223,WH-South,2026-02-02 15:36:00,2026-02-02 19:13:00,34.82
D20223,ORD10224,WH-West,2026-01-14 02:15:00,2026-01-14 04:44:00,74.57
D20224,ORD10225,WH-Central,2026-03-11 19:23:00,2026-03-11 22:37:00,116.34
D20225,ORD10226,WH-South,2026-03-02 00:40:00,2026-03-02 04:53:00,41.7
D20226,ORD10227,WH-East,2026-02-27 21:38:00,,39.55
D20227,ORD10228,WH-South,2026-02-17 21:36:00,2026-02-18 01:58:00,73.65
D20228,ORD10229,WH-North,2026-01-25 17:48:00,2026-01-25 20:03:00,68.91
D20229,ORD10230,WH-West,2026-03-08 18:54:00,2026-03-08 22:23:00,84.53
D20230,ORD10231,WH-East,2026-03-26 16:34:00,2026-03-26 17:51:00,38.67
D20231,ORD10232,WH-South,2026-03-11 10:33:00,,89.83
D20232,ORD10233,WH-North,2026-01-20 13:14:00,,104.84
D20233,ORD10234,WH-Central,2026-02-22 21:08:00,2026-02-22 21:47:00,49.36
D20234,ORD10235,WH-Central,2026-02-23 10:23:00,2026-02-23 13:30:00,57.74
D20235,ORD10236,WH-North,2026-02-22 08:48:00,2026-02-22 13:37:00,73.07
D20236,ORD10237,WH-West,2026-03-05 12:30:00,2026-03-05 15:06:00,89.87
D20237,ORD10238,WH-West,2026-03-20 06:59:00,2026-03-20 08:57:00,98.42
D20238,ORD10239,WH-Central,2026-01-28 15:41:00,2026-01-28 18:21:00,58.42
D20239,ORD10240,WH-Central,2026-02-20 07:35:00,2026-02-20 11:09:00,30.15
D20240,ORD10241,WH-Central,2026-02-06 09:59:00,,34.52
D20241,ORD10242,WH-North,2026-02-28 00:50:00,2026-02-28 04:56:00,92.52
D20242,ORD10243,WH-South,2026-03-08 07:36:00,2026-03-08 09:31:00,36.49
D20243,ORD10244,WH-Central,2026-03-04 09:08:00,2026-03-04 12:48:00,35.4
D20244,ORD10245,WH-West,2026-01-27 14:44:00,2026-01-27 16:10:00,85.14
D20245,ORD10246,WH-East,2026-03-18 20:59:00,,55.42
D20246,ORD10247,WH-Central,2026-01-07 20:37:00,2026-01-08 01:14:00,50.66
D20247,ORD10248,WH-West,2026-02-02 11:13:00,2026-02-02 14:19:00,115.13
D20248,ORD10249,WH-North,2026-03-18 05:55:00,2026-03-18 08:41:00,91.63
D20249,ORD10250,WH-West,2026-03-23 17:09:00,2026-03-23 17:43:00,35.37
D20250,ORD10251,WH-North,2026-01-21 18:44:00,2026-01-21 19:54:00,30.22
D20251,ORD10252,WH-South,2026-03-04 17:29:00,2026-03-04 22:16:00,89.32
D20252,ORD10253,WH-Central,2026-03-06 14:59:00,2026-03-06 18:49:00,36.2
D20253,ORD10254,WH-North,2026-01-08 02:14:00,,119.81
D20254,ORD10255,WH-Central,2026-02-01 17:50:00,2026-02-01 18:41:00,73.93
D20255,ORD10256,WH-East,2026-03-03 07:49:00,2026-03-03 10:12:00,43.25
D20256,ORD10257,WH-East,2026-02-14 08:33:00,2026-02-14 12:04:00,72.52
D20257,ORD10258,WH-Central,2026-03-29 07:11:00,,50.79
D20258,ORD10259,WH-East,2026-02-15 07:12:00,2026-02-15 08:11:00,41.22
D20259,ORD10260,WH-Central,2026-02-05 21:47:00,2026-02-06 01:05:00,100.04
D20260,ORD10261,WH-West,2026-01-28 20:01:00,2026-01-29 00:54:00,43.68
D20261,ORD10262,WH-North,2026-02-16 18:42:00,2026-02-16 20:50:00,86.25
D20262,ORD10263,WH-South,2026-01-13 06:09:00,2026-01-13 07:33:00,49.73
D20263,ORD10264,WH-East,2026-03-08 16:02:00,2026-03-08 16:33:00,82.85
D20264,ORD10265,WH-East,2026-01-04 12:34:00,2026-01-04 13:57:00,100.86
D20265,ORD10266,WH-East,2026-01-28 05:12:00,2026-01-28 07:18:00,85.56
D20266,ORD10267,WH-Central,2026-03-28 17:29:00,2026-03-28 19:43:00,100.97
D20267,ORD10268,WH-South,2026-01-04 06:59:00,,55.45
D20268,ORD10269,WH-East,2026-01-06 23:34:00,2026-01-07 01:13:00,80.98
D20269,ORD10270,WH-South,2026-01-12 04:17:00,2026-01-12 07:56:00,35.89
D20270,ORD10271,WH-North,2026-02-09 01:26:00,2026-02-09 03:39:00,31.94
D20271,ORD10272,WH-Central,2026-03-04 06:26:00,2026-03-04 07:37:00,83.67
D20272,ORD10273,WH-North,2026-02-04 20:37:00,2026-02-04 23:51:00,106.38
D20273,ORD10274,WH-West,2026-02-03 08:50:00,2026-02-03 10:39:00,100.76
D20274,ORD10275,WH-Central,2026-02-13 03:47:00,2026-02-13 05:04:00,39.5
D20275,ORD10276,WH-North,2026-02-05 22:19:00,2026-02-05 23:48:00,78.5
D20276,ORD10277,WH-West,2026-01-21 10:05:00,2026-01-21 14:03:00,49.67
D20277,ORD10278,WH-East,2026-01-07 06:52:00,2026-01-07 07:30:00,68.77
D20278,ORD10279,WH-North,2026-01-26 23:39:00,2026-01-27 03:32:00,47.52
D20279,ORD10280,WH-East,2026-02-13 05:21:00,2026-02-13 07:58:00,60.26
D20280,ORD10281,WH-South,2026-01-18 07:30:00,2026-01-18 08:28:00,81.98
D20281,ORD10282,WH-Central,2026-01-15 13:07:00,2026-01-15 16:48:00,51.71
D20282,ORD10283,WH-Central,2026-02-23 07:56:00,2026-02-23 10:08:00,39.88
D20283,ORD10284,WH-South,2026-01-07 22:33:00,2026-01-07 23:05:00,44.28
D20284,ORD10285,WH-East,2026-03-21 02:32:00,2026-03-21 06:08:00,93.21
D20285,ORD10286,WH-South,2026-03-22 15:56:00,,36.33
D20286,ORD10287,WH-West,2026-02-25 04:56:00,2026-02-25 08:03:00,51.71
D20287,ORD10288,WH-East,2026-03-20 21:42:00,,72.03
D20288,ORD10289,WH-West,2026-01-07 17:33:00,2026-01-07 22:23:00,107.3
D20289,ORD10290,WH-East,2026-02-07 17:42:00,2026-02-07 18:44:00,84.25
D20290,ORD10291,WH-East,2026-03-18 22:32:00,2026-03-19 02:26:00,36.52
D20291,ORD10292,WH-North,2026-01-11 14:20:00,2026-01-11 19:06:00,111.86
D20292,ORD10293,WH-North,2026-01-20 14:23:00,2026-01-20 17:35:00,33.22
D20293,ORD10294,WH-Central,2026-01-02 16:04:00,2026-01-02 17:23:00,107.38
D20294,ORD10295,WH-Central,2026-03-16 16:55:00,2026-03-16 20:21:00,108.19
D20295,ORD10296,WH-Central,2026-02-10 23:22:00,2026-02-11 00:40:00,69.59
D20296,ORD10297,WH-East,2026-03-21 02:45:00,2026-03-21 06:24:00,78.86
D20297,ORD10298,WH-West,2026-01-19 20:00:00,,100.45
D20298,ORD10299,WH-West,2026-01-05 21:55:00,2026-01-06 01:53:00,74.54
D20299,ORD10300,WH-North,2026-03-14 17:58:00,2026-03-14 18:35:00,60.74
D20300,ORD10301,WH-South,2026-02-09 06:36:00,2026-02-09 09:49:00,32.53
D20301,ORD10302,WH-North,2026-01-04 18:15:00,2026-01-04 20:37:00,39.87
D20302,ORD10303,WH-South,2026-03-15 07:05:00,,96.77
D20303,ORD10304,WH-East,2026-03-21 17:55:00,2026-03-21 21:15:00,114.25
D20304,ORD10305,WH-East,2026-01-12 09:42:00,2026-01-12 11:57:00,48.73
D20305,ORD10306,WH-East,2026-03-14 15:00:00,2026-03-14 18:03:00,108.7
D20306,ORD10307,WH-Central,2026-02-11 02:54:00,2026-02-11 04:39:00,46.7
D20307,ORD10308,WH-West,2026-03-12 21:22:00,2026-03-12 22:03:00,102.21
D20308,ORD10309,WH-Central,2026-02-04 10:00:00,2026-02-04 10:43:00,71.76
D20309,ORD10310,WH-Central,2026-02-04 07:01:00,2026-02-04 11:50:00,45.86
D20310,ORD10311,WH-West,2026-01-20 13:30:00,2026-01-20 15:47:00,32.44
D20311,ORD10312,WH-South,2026-03-25 10:09:00,2026-03-25 13:26:00,59.22
D20312,ORD10313,WH-East,2026-01-20 02:04:00,,73.57
D20313,ORD10314,WH-Central,2026-01-07 05:54:00,2026-01-07 08:02:00,53.34
D20314,ORD10315,WH-Central,2026-02-07 04:49:00,2026-02-07 07:32:00,98.3
D20315,ORD10316,WH-North,2026-01-19 09:25:00,2026-01-19 12:02:00,55.77
D20316,ORD10317,WH-Central,2026-03-03 23:12:00,2026-03-04 00:54:00,98.87
D20317,ORD10318,WH-West,2026-03-04 21:32:00,2026-03-05 01:36:00,86.74
D20318,ORD10319,WH-East,2026-02-03 12:08:00,2026-02-03 15:19:00,64.8
