order_id,customer_id,product_id,order_date,discount_applied,order_status
ORD10043,C5635,P1069,10-01-2026 14:05,0.1,Delivered
ORD10044,C5761,P1079,08-01-2026 00:51,0,Delivered
ORD10045,C6199,P1099,24-01-2026 05:54,0,Delivered
ORD10046,C7425,P1067,01-01-2026 08:13,0.2,Delivered
ORD10047,C7643,P1026,01-03-2026 03:56,0.05,Delivered
ORD10048,C9090,P1003,27-01-2026 23:04,0.15,Delivered
ORD10049,C2117,P1036,07-03-2026 15:40,0.1,Delivered
ORD10050,C4251,P1072,09-01-2026 02:27,0.15,Delivered
ORD10051,C9715,P1023,23-01-2026 02:40,0,Delivered
ORD10052,C7233,P1049,10-03-2026 11:25,0,Delivered
ORD10053,C4929,P1052,16-01-2026 22:24,0,Delivered
ORD10054,C8207,P1089,18-01-2026 22:33,0,Delivered
ORD10055,C9795,P1034,30-03-2026 16:17,0.05,Delivered
ORD10056,C5994,P1026,28-03-2026 02:55,0,Delivered
ORD10057,C9292,P1036,03-03-2026 07:38,0.1,Delivered
ORD10058,C3150,P1009,12-03-2026 22:56,0.05,Delivered
ORD10059,C1299,P1080,02-02-2026 03:40,0.1,Delivered
ORD10060,C3751,P1084,09-01-2026 21:24,0.1,Delivered
ORD10061,C2392,P1086,13-02-2026 07:05,0,Delivered
ORD10062,C4604,P1056,25-03-2026 02:33,0,Delivered
ORD10063,C4921,P1022,02-03-2026 12:47,0,Cancelled
ORD10064,C8881,P1006,01-03-2026 00:09,0,Returned
ORD10065,C2193,P1011,30-03-2026 18:15,0.05,Cancelled
ORD10066,C6797,P1044,30-03-2026 18:50,0,Delivered
ORD10067,C5321,P1022,15-02-2026 16:37,0.2,Delivered
ORD10068,C8738,P1091,10-02-2026 12:22,0.1,Delivered
ORD10069,C6405,P1096,24-01-2026 20:18,0,Delivered
ORD10070,C6440,P1015,01-01-2026 15:11,0.1,Returned
ORD10071,C1244,P1038,16-01-2026 22:19,0.15,Delivered
ORD10072,C2378,P1078,26-02-2026 03:50,0.2,Cancelled
ORD10073,C4085,P1045,06-01-2026 22:30,0.2,Delivered
ORD10074,C5462,P1003,24-01-2026 06:16,0,Delivered
ORD10075,C4217,P1076,21-01-2026 07:42,0,Cancelled
ORD10076,C3384,P1075,26-03-2026 10:35,0,Delivered
ORD10077,C3403,P1061,06-02-2026 05:49,0.2,Delivered
ORD10078,C9635,P1043,19-01-2026 00:49,0.1,Delivered
ORD10079,C8655,P1067,02-03-2026 02:57,0,Delivered
ORD10080,C6860,P1079,26-01-2026 13:09,0.2,Returned
ORD10081,C6459,P1013,08-01-2026 15:39,0,Delivered
ORD10082,C7223,P1036,12-01-2026 13:07,0,Delivered
ORD10083,C8616,P1044,14-01-2026 18:22,0,Returned
ORD10084,C9428,P1039,10-01-2026 09:12,0.2,Delivered
ORD10085,C5415,P1088,18-03-2026 23:38,0.05,Delivered
ORD10086,C6367,P1030,07-03-2026 12:29,0,Delivered
ORD10087,C1144,P1045,29-03-2026 13:11,0.2,Returned
ORD10088,C2838,P1091,14-02-2026 23:47,0.15,Delivered
ORD10089,C5095,P1077,10-01-2026 08:30,0,Delivered
ORD10090,C7901,P1017,16-03-2026 16:00,0.1,Delivered
ORD10091,C7910,P1006,08-01-2026 05:02,0,Delivered
ORD10092,C7117,P1088,27-03-2026 02:26,0,Delivered
ORD10093,C2495,P1078,03-01-2026 07:26,0.1,Delivered
ORD10094,C7099,P1057,23-01-2026 18:50,0.15,Delivered
ORD10095,C9541,P1082,22-02-2026 16:42,0,Delivered
ORD10096,C2134,P1026,28-03-2026 02:36,0.05,Delivered
ORD10097,C4904,P1006,20-03-2026 06:11,0.15,Delivered
ORD10098,C5588,P1063,14-01-2026 13:40,0.05,Delivered
ORD10099,C2886,P1025,14-01-2026 12:54,0.05,Cancelled
ORD10100,C4597,P1063,30-01-2026 14:57,0,Delivered
ORD10101,C4821,P1031,16-03-2026 01:07,0.05,Delivered
ORD10102,C7564,P1064,16-01-2026 07:45,0.1,Delivered
ORD10103,C3152,P1022,28-03-2026 17:26,0,Delivered
ORD10104,C9362,P1091,11-02-2026 06:16,0.2,Cancelled
ORD10105,C6956,P1012,26-01-2026 05:17,0.05,Cancelled
ORD10106,C6172,P1100,17-03-2026 00:19,0,Delivered
ORD10107,C8943,P1012,26-01-2026 18:36,0,Delivered
ORD10108,C2442,P1063,18-01-2026 04:05,0.2,Delivered
ORD10109,C8365,P1023,19-02-2026 00:56,0,Delivered
ORD10110,C6444,P1043,06-02-2026 17:22,0.1,Cancelled
ORD10111,C6913,P1060,07-02-2026 08:43,0.1,Delivered
ORD10112,C3768,P1065,09-03-2026 18:55,0.05,Delivered
ORD10113,C4855,P1011,20-02-2026 04:49,0.05,Delivered
ORD10114,C9467,P1099,21-02-2026 15:44,0.1,Delivered
ORD10115,C6107,P1097,18-03-2026 01:43,0,Delivered
ORD10116,C3546,P1087,15-03-2026 19:46,0.15,Delivered
ORD10117,C9056,P1054,28-01-2026 22:19,0,Returned
ORD10118,C3854,P1063,05-02-2026 12:20,0.1,Delivered
ORD10119,C3108,P1023,24-03-2026 11:33,0.1,Delivered
ORD10120,C1077,P1032,11-03-2026 23:20,0.05,Delivered
ORD10121,C4652,P1016,14-01-2026 16:26,0.1,Delivered
ORD10122,C3708,P1090,18-03-2026 02:19,0,Delivered
ORD10123,C9577,P1072,23-01-2026 16:11,0.1,Delivered
ORD10124,C5449,P1082,30-01-2026 06:15,0,Delivered
ORD10125,C3796,P1011,14-02-2026 03:52,0.2,Delivered
ORD10126,C3648,P1005,07-02-2026 20:06,0,Delivered
ORD10127,C5791,P1062,03-02-2026 21:52,0.1,Delivered
ORD10128,C1638,P1087,01-03-2026 01:56,0.05,Delivered
ORD10129,C4561,P1012,17-03-2026 07:30,0.1,Delivered
ORD10130,C6901,P1044,16-01-2026 09:09,0.05,Delivered
ORD10131,C5970,P1062,27-03-2026 09:32,0.2,Delivered
ORD10132,C3647,P1051,14-03-2026 10:00,0,Delivered
ORD10133,C5706,P1036,31-01-2026 18:05,0.1,Delivered
ORD10134,C6415,P1064,24-01-2026 09:53,0.05,Delivered
ORD10135,C2161,P1040,28-03-2026 19:13,0.2,Delivered
ORD10136,C6985,P1025,01-03-2026 05:51,0,Delivered
ORD10137,C8584,P1023,31-01-2026 23:54,0.1,Delivered
ORD10138,C4703,P1097,11-03-2026 00:37,0.05,Cancelled
ORD10139,C5354,P1092,01-03-2026 02:41,0,Returned
ORD10140,C6012,P1026,13-01-2026 14:23,0,Delivered
ORD10141,C5311,P1016,01-02-2026 11:42,0,Delivered
ORD10142,C5647,P1035,19-02-2026 06:24,0.05,Delivered
ORD10143,C5161,P1091,24-02-2026 01:19,0,Cancelled
ORD10144,C4178,P1071,08-02-2026 11:27,0.1,Returned
ORD10145,C4570,P1081,14-02-2026 00:45,0.05,Delivered
ORD10146,C9549,P1060,08-02-2026 03:47,0.2,Delivered
ORD10147,C2205,P1057,25-01-2026 04:54,0,Delivered
ORD10148,C3418,P1098,21-01-2026 12:03,0.1,Delivered
ORD10149,C8766,P1052,14-03-2026 08:13,0.1,Delivered
ORD10150,C6666,P1050,16-02-2026 21:29,0,Delivered
ORD10151,C1869,P1020,13-03-2026 13:20,0,Delivered
ORD10152,C6938,P1067,16-02-2026 23:59,0.15,Cancelled
ORD10153,C8127,P1026,03-03-2026 17:44,0,Delivered
ORD10154,C6975,P1018,13-03-2026 06:18,0.05,Delivered
ORD10155,C6313,P1036,27-03-2026 09:30,0.05,Returned
ORD10156,C8788,P1080,21-02-2026 03:11,0,Delivered
ORD10157,C8021,P1042,28-01-2026 21:33,0.2,Delivered
ORD10158,C4266,P1056,04-03-2026 02:18,0.05,Returned
ORD10159,C9534,P1050,19-02-2026 14:47,0.1,Delivered
ORD10160,C7759,P1041,14-03-2026 08:49,0,Delivered
ORD10161,C6720,P1091,25-02-2026 07:31,0.1,Delivered
ORD10162,C8948,P1098,22-01-2026 00:37,0.05,Delivered
ORD10163,C7007,P1005,06-02-2026 04:32,0.05,Delivered
ORD10164,C6843,P1024,27-01-2026 17:20,0.2,Delivered
ORD10165,C2258,P1091,20-02-2026 01:35,0.05,Delivered
ORD10166,C4863,P1067,23-01-2026 02:08,0,Delivered
ORD10167,C1194,P1070,01-01-2026 13:09,0,Delivered
ORD10168,C1220,P1059,08-03-2026 22:30,0,Delivered
ORD10169,C7338,P1085,27-03-2026 15:03,0.1,Delivered
ORD10170,C7590,P1007,08-03-2026 20:30,0.1,Delivered
ORD10171,C1025,P1048,10-01-2026 21:35,0,Delivered
ORD10172,C8121,P1009,07-01-2026 16:32,0,Delivered
ORD10173,C4979,P1094,26-03-2026 20:05,0,Delivered
ORD10174,C4859,P1019,07-01-2026 17:52,0,Delivered
ORD10175,C2646,P1049,29-01-2026 22:13,0,Delivered
ORD10176,C2142,P1025,15-01-2026 21:15,0.2,Delivered
ORD10177,C1035,P1083,24-02-2026 02:35,0,Cancelled
ORD10178,C5551,P1012,11-01-2026 23:48,0,Delivered
ORD10179,C3948,P1064,05-03-2026 21:54,0.1,Cancelled
ORD10180,C3781,P1024,16-02-2026 12:53,0,Delivered
ORD10181,C5250,P1050,17-01-2026 12:21,0.05,Delivered
ORD10182,C7486,P1058,30-03-2026 23:20,0.1,Delivered
ORD10183,C6005,P1003,19-02-2026 00:39,0,Delivered
ORD10184,C1563,P1007,10-03-2026 16:46,0.2,Delivered
ORD10185,C8202,P1033,01-03-2026 06:26,0,Delivered
ORD10186,C5609,P1057,09-03-2026 04:46,0.05,Delivered
ORD10187,C2534,P1060,16-02-2026 17:37,0.05,Delivered
ORD10188,C1945,P1033,09-01-2026 07:36,0.2,Delivered
ORD10189,C1315,P1016,20-03-2026 20:38,0.1,Delivered
ORD10190,C1708,P1042,17-02-2026 01:54,0,Delivered
ORD10191,C7280,P1077,03-03-2026 10:30,0.2,Delivered
ORD10192,C8294,P1080,24-03-2026 06:26,0,Delivered
ORD10193,C9780,P1013,21-02-2026 16:43,0,Delivered
ORD10194,C3645,P1017,27-01-2026 11:35,0.15,Delivered
ORD10195,C2783,P1050,11-01-2026 23:32,0.2,Delivered
ORD10196,C6956,P1022,05-02-2026 23:38,0.1,Delivered
ORD10197,C2693,P1064,06-01-2026 22:06,0.1,Delivered
ORD10198,C6642,P1059,27-01-2026 14:54,0.15,Delivered
ORD10199,C5953,P1055,28-02-2026 15:47,0.05,Cancelled
ORD10200,C7162,P1047,20-02-2026 23:36,0,Delivered
ORD10201,C1855,P1070,15-02-2026 08:18,0.05,Cancelled
ORD10202,C8341,P1063,14-01-2026 14:01,0.1,Delivered
ORD10203,C4445,P1051,23-03-2026 04:30,0,Delivered
ORD10204,C6617,P1071,05-02-2026 18:07,0,Delivered
ORD10205,C1687,P1025,21-02-2026 10:44,0,Delivered
ORD10206,C8254,P1088,04-01-2026 15:23,0,Delivered
ORD10207,C2276,P1091,08-01-2026 13:21,0.1,Delivered
ORD10208,C1726,P1003,25-02-2026 07:50,0,Delivered
ORD10209,C1148,P1019,14-01-2026 02:33,0,Delivered
ORD10210,C2499,P1019,03-01-2026 07:04,0.05,Delivered
ORD10211,C1533,P1009,02-02-2026 03:06,0,Delivered
ORD10212,C1993,P1078,22-03-2026 11:24,0,Delivered
ORD10213,C6324,P1038,26-02-2026 00:44,0.1,Returned
ORD10214,C4815,P1009,19-01-2026 22:50,0,Delivered
ORD10215,C9589,P1001,15-03-2026 06:08,0,Delivered
ORD10216,C9932,P1077,13-02-2026 09:39,0,Delivered
ORD10217,C1599,P1027,16-02-2026 02:24,0.05,Delivered
ORD10218,C1428,P1014,24-01-2026 03:22,0,Delivered
ORD10219,C3858,P1095,06-02-2026 07:29,0,Delivered
ORD10220,C4851,P1036,16-03-2026 03:58,0.05,Delivered
ORD10221,C1362,P1098,04-01-2026 09:05,0,Delivered
ORD10222,C9449,P1061,26-01-2026 13:38,0.1,Delivered
ORD10223,C3696,P1009,02-02-2026 14:01,0,Delivered
ORD10224,C2016,P1083,14-01-2026 01:00,0.05,Delivered
ORD10225,C7141,P1069,11-03-2026 17:56,0.15,Delivered
ORD10226,C1330,P1088,01-03-2026 23:21,0,Delivered
ORD10227,C3344,P1075,27-02-2026 20:15,0.1,Cancelled
ORD10228,C2714,P1032,17-02-2026 21:00,0,Delivered
ORD10229,C4345,P1055,25-01-2026 16:53,0,Delivered
ORD10230,C5917,P1073,08-03-2026 17:18,0.05,Delivered
ORD10231,C6385,P1057,26-03-2026 15:39,0.1,Delivered
ORD10232,C1405,P1034,11-03-2026 09:16,0,Returned
ORD10233,C6145,P1035,20-01-2026 12:05,0,Cancelled
ORD10234,C4812,P1072,22-02-2026 19:20,0,Delivered
ORD10235,C6482,P1060,23-02-2026 10:06,0.1,Delivered
ORD10236,C6042,P1022,22-02-2026 07:41,0.1,Delivered
ORD10237,C3831,P1075,05-03-2026 11:58,0,Delivered
ORD10238,C3170,P1021,20-03-2026 05:17,0,Delivered
ORD10239,C4053,P1017,28-01-2026 14:59,0.2,Delivered
ORD10240,C3224,P1025,20-02-2026 06:55,0.05,Delivered
ORD10241,C5770,P1041,06-02-2026 09:42,0,Returned
ORD10242,C5052,P1017,27-02-2026 23:49,0.05,Delivered
ORD10243,C4761,P1032,08-03-2026 06:18,0.1,Delivered
ORD10244,C8306,P1071,04-03-2026 07:20,0.1,Delivered
ORD10245,C8912,P1064,27-01-2026 14:14,0,Delivered
ORD10246,C2227,P1032,18-03-2026 20:42,0.05,Cancelled
ORD10247,C1356,P1100,07-01-2026 20:16,0.2,Delivered
ORD10248,C4307,P1081,02-02-2026 09:51,0.15,Delivered
ORD10249,C2767,P1079,18-03-2026 04:27,0.05,Delivered
ORD10250,C5507,P1061,23-03-2026 16:08,0.05,Delivered
ORD10251,C3561,P1006,21-01-2026 18:11,0,Delivered
ORD10252,C7626,P1040,04-03-2026 15:49,0,Delivered
ORD10253,C5390,P1098,06-03-2026 14:40,0.1,Delivered
ORD10254,C9559,P1086,08-01-2026 00:50,0.1,Cancelled
ORD10255,C6785,P1004,01-02-2026 16:56,0.05,Delivered
ORD10256,C5575,P1059,03-03-2026 07:20,0.1,Delivered
ORD10257,C9746,P1099,14-02-2026 07:46,0.1,Delivered
ORD10258,C4350,P1009,29-03-2026 05:25,0.1,Cancelled
ORD10259,C8397,P1054,15-02-2026 05:39,0.05,Delivered
ORD10260,C5757,P1042,05-02-2026 20:26,0,Delivered
ORD10261,C8665,P1083,28-01-2026 19:45,0.05,Delivered
ORD10262,C6369,P1043,16-02-2026 18:14,0.05,Delivered
ORD10263,C7192,P1039,13-01-2026 05:37,0.1,Delivered
ORD10264,C8491,P1098,08-03-2026 15:28,0.05,Delivered
ORD10265,C3780,P1034,04-01-2026 11:57,0,Delivered
ORD10266,C3697,P1076,28-01-2026 03:16,0,Delivered
ORD10267,C4991,P1011,28-03-2026 16:09,0.05,Delivered
ORD10268,C8225,P1024,04-01-2026 05:47,0,Returned
ORD10269,C7020,P1041,06-01-2026 23:07,0,Delivered
ORD10270,C1330,P1098,12-01-2026 03:14,0.05,Delivered
ORD10271,C6132,P1036,08-02-2026 23:54,0,Delivered
ORD10272,C5624,P1099,04-03-2026 06:11,0.15,Delivered
ORD10273,C2359,P1060,04-02-2026 19:04,0.15,Delivered
ORD10274,C4207,P1100,03-02-2026 08:19,0.05,Delivered
ORD10275,C5795,P1051,13-02-2026 03:00,0.15,Delivered
ORD10276,C3201,P1080,05-02-2026 21:59,0,Delivered
ORD10277,C3960,P1015,21-01-2026 09:11,0,Delivered
ORD10278,C6158,P1027,07-01-2026 05:21,0.1,Delivered
ORD10279,C4071,P1056,26-01-2026 21:59,0.1,Delivered
ORD10280,C9595,P1051,13-02-2026 04:29,0.05,Delivered
ORD10281,C3605,P1006,18-01-2026 06:39,0,Delivered
ORD10282,C8923,P1011,15-01-2026 12:12,0.2,Delivered
ORD10283,C6585,P1036,23-02-2026 07:26,0.2,Delivered
ORD10284,C6468,P1026,07-01-2026 21:37,0.05,Delivered
ORD10285,C3593,P1078,21-03-2026 01:48,0.1,Delivered
ORD10286,C5587,P1017,22-03-2026 14:25,0.05,Cancelled
ORD10287,C8488,P1088,25-02-2026 03:57,0.05,Delivered
ORD10288,C5526,P1034,20-03-2026 21:10,0.15,Cancelled
ORD10289,C4318,P1043,07-01-2026 16:46,0,Delivered
ORD10290,C2889,P1050,07-02-2026 17:03,0.05,Delivered
ORD10291,C8925,P1051,18-03-2026 22:09,0.05,Delivered
ORD10292,C2628,P1078,11-01-2026 13:01,0.2,Delivered
ORD10293,C6819,P1060,20-01-2026 13:25,0.15,Delivered
ORD10294,C4114,P1095,02-01-2026 14:11,0,Delivered
ORD10295,C9754,P1034,16-03-2026 16:30,0.2,Delivered
ORD10296,C5767,P1083,10-02-2026 22:32,0.1,Delivered
ORD10297,C5049,P1088,21-03-2026 01:52,0.05,Delivered
ORD10298,C7191,P1099,19-01-2026 18:57,0,Cancelled
ORD10299,C4473,P1070,05-01-2026 21:17,0.05,Delivered
ORD10300,C9169,P1061,14-03-2026 16:39,0,Delivered
ORD10301,C5157,P1030,09-02-2026 05:07,0.2,Delivered
ORD10302,C2074,P1073,04-01-2026 16:59,0.05,Delivered
ORD10303,C9831,P1095,15-03-2026 06:44,0.15,Cancelled
ORD10304,C9866,P1097,21-03-2026 16:51,0,Delivered
ORD10305,C2320,P1031,12-01-2026 08:22,0,Delivered
ORD10306,C3382,P1061,14-03-2026 13:14,0,Delivered
ORD10307,C6929,P1062,11-02-2026 01:13,0,Delivered
ORD10308,C5199,P1006,12-03-2026 20:36,0.1,Delivered
ORD10309,C4451,P1077,04-02-2026 08:08,0.1,Delivered
ORD10310,C3946,P1081,04-02-2026 05:21,0.1,Delivered
ORD10311,C6925,P1074,20-01-2026 12:05,0.2,Delivered
ORD10312,C1471,P1045,25-03-2026 08:11,0.1,Delivered
ORD10313,C1169,P1008,20-01-2026 01:42,0.05,Cancelled
ORD10314,C4630,P1085,07-01-2026 05:13,0.1,Delivered
ORD10315,C3306,P1036,07-02-2026 03:35,0.1,Delivered
ORD10316,C6457,P1065,19-01-2026 08:03,0,Delivered
ORD10317,C2320,P1031,03-03-2026 22:27,0.15,Delivered
ORD10318,C4512,P1094,04-03-2026 20:03,0.1,Delivered
ORD10319,C2176,P1064,03-02-2026 11:52,0.05,Delivered
ORD10320,C6602,P1014,15-01-2026 08:41,0.2,Returned
ORD10321,C5012,P1081,04-02-2026 05:23,0.1,Delivered
ORD10322,C5761,P1056,18-02-2026 15:46,0,Delivered
ORD10323,C4660,P1065,28-03-2026 15:08,0.1,Delivered
ORD10324,C6270,P1003,06-01-2026 12:31,0.1,Delivered
ORD10325,C8962,P1070,05-01-2026 15:41,0,Delivered
ORD10326,C9036,P1080,08-02-2026 11:54,0.1,Delivered
ORD10327,C4152,P1049,08-03-2026 09:51,0,Delivered
ORD10328,C8943,P1097,04-02-2026 02:08,0,Delivered
ORD10329,C8468,P1016,09-03-2026 04:01,0.1,Delivered
ORD10330,C4184,P1004,25-02-2026 23:09,0,Delivered
ORD10331,C9472,P1092,23-01-2026 07:12,0,Delivered
ORD10332,C1861,P1037,22-03-2026 18:42,0.15,Delivered
ORD10333,C3939,P1022,01-02-2026 13:04,0.1,Delivered
ORD10334,C1371,P1088,15-02-2026 02:32,0,Delivered
ORD10335,C6889,P1079,03-03-2026 04:27,0.15,Delivered
ORD10336,C5685,P1072,24-02-2026 07:22,0,Delivered
ORD10337,C7692,P1019,05-02-2026 17:54,0,Delivered
ORD10338,C6258,P1043,21-03-2026 17:40,0.15,Cancelled
ORD10339,C3881,P1015,10-03-2026 23:15,0.05,Cancelled
ORD10340,C5870,P1012,21-02-2026 22:36,0.1,Delivered
ORD10341,C5666,P1010,28-03-2026 09:16,0.2,Delivered
ORD10342,C8269,P1052,02-01-2026 14:37,0.05,Delivered
ORD10343,C1457,P1010,26-01-2026 05:48,0,Delivered
ORD10344,C9294,P1018,22-02-2026 07:49,0,Returned
ORD10345,C2267,P1031,23-03-2026 20:08,0,Cancelled
ORD10346,C9259,P1058,27-01-2026 08:45,0.05,Delivered
ORD10347,C1301,P1042,31-01-2026 19:14,0,Delivered
ORD10348,C6988,P1075,19-01-2026 04:31,0,Delivered
ORD10349,C6390,P1089,05-03-2026 20:02,0,Delivered
ORD10350,C3800,P1027,19-03-2026 10:50,0,Delivered
ORD10351,C9539,P1097,05-01-2026 06:09,0.1,Delivered
ORD10352,C9925,P1082,22-01-2026 15:15,0.15,Delivered
ORD10353,C7486,P1017,09-02-2026 09:09,0.1,Delivered
ORD10354,C9463,P1078,08-02-2026 03:39,0,Delivered
ORD10355,C8450,P1069,20-02-2026 17:41,0.05,Delivered
ORD10356,C4708,P1074,24-03-2026 07:07,0.05,Delivered
ORD10357,C9413,P1032,08-02-2026 04:25,0,Delivered
ORD10358,C7622,P1037,04-03-2026 00:27,0.05,Delivered
ORD10359,C1396,P1024,28-01-2026 18:35,0.2,Delivered
ORD10360,C4581,P1098,09-02-2026 16:48,0.1,Delivered
ORD10361,C7757,P1019,15-03-2026 23:08,0.2,Delivered
ORD10362,C1459,P1062,28-01-2026 23:03,0.05,Delivered
ORD10363,C7202,P1085,22-02-2026 07:09,0.05,Delivered
ORD10364,C7554,P1042,25-01-2026 05:54,0.2,Delivered
ORD10365,C8417,P1080,08-02-2026 04:17,0.2,Delivered
ORD10366,C8439,P1053,25-01-2026 08:55,0.1,Cancelled
ORD10367,C9668,P1015,23-03-2026 21:53,0.1,Delivered
ORD10368,C2776,P1025,19-01-2026 11:21,0.15,Delivered
ORD10369,C3761,P1074,13-03-2026 08:42,0.1,Delivered
ORD10370,C7146,P1033,04-02-2026 07:11,0,Delivered
ORD10371,C2173,P1048,03-02-2026 03:21,0.1,Delivered
ORD10372,C2958,P1055,13-01-2026 12:57,0,Delivered
ORD10373,C6352,P1037,29-03-2026 17:00,0,Delivered
ORD10374,C3069,P1096,11-02-2026 06:36,0.2,Delivered
ORD10375,C4868,P1073,12-01-2026 12:49,0.05,Delivered
ORD10376,C8893,P1086,23-01-2026 02:42,0.15,Delivered
ORD10377,C3085,P1030,18-02-2026 16:59,0,Delivered
ORD10378,C2829,P1020,13-01-2026 04:39,0.1,Delivered
ORD10379,C9424,P1008,18-02-2026 19:43,0,Delivered
ORD10380,C1028,P1080,01-01-2026 17:43,0,Returned
ORD10381,C5693,P1014,19-01-2026 01:54,0.05,Delivered
ORD10382,C6700,P1056,23-03-2026 18:34,0.15,Delivered
ORD10383,C8997,P1051,13-02-2026 18:55,0,Delivered
ORD10384,C4308,P1040,18-01-2026 06:41,0.2,Delivered
ORD10385,C1056,P1059,19-01-2026 13:11,0.1,Delivered
ORD10386,C4229,P1094,23-03-2026 08:54,0.1,Delivered
ORD10387,C6426,P1089,08-01-2026 17:38,0,Delivered
ORD10388,C4575,P1087,21-03-2026 12:13,0.1,Delivered
ORD10389,C4628,P1015,06-03-2026 10:41,0.05,Delivered
ORD10390,C2680,P1071,21-02-2026 08:40,0.1,Delivered
ORD10391,C7826,P1065,28-01-2026 16:20,0.1,Delivered
ORD10392,C1984,P1096,01-01-2026 11:02,0.05,Returned
ORD10393,C4605,P1073,15-03-2026 18:42,0.1,Delivered
ORD10394,C6128,P1032,12-03-2026 02:37,0.05,Delivered
ORD10395,C9983,P1084,02-03-2026 14:31,0.1,Delivered
ORD10396,C7205,P1025,30-01-2026 16:40,0.15,Delivered
ORD10397,C4512,P1083,24-01-2026 23:07,0,Delivered
ORD10398,C1789,P1019,22-03-2026 13:42,0,Delivered
ORD10399,C7815,P1080,02-02-2026 12:57,0.05,Delivered
ORD10400,C7823,P1036,06-01-2026 06:25,0.1,Delivered
ORD10401,C6054,P1053,15-03-2026 19:38,0.1,Delivered
ORD10402,C2600,P1090,18-03-2026 22:15,0.1,Delivered
ORD10403,C5050,P1043,01-01-2026 07:25,0.15,Delivered
ORD10404,C5632,P1094,21-01-2026 03:00,0.05,Delivered
ORD10405,C7576,P1088,26-03-2026 20:15,0.2,Delivered
ORD10406,C7544,P1052,18-01-2026 17:28,0,Delivered
ORD10407,C8902,P1008,24-01-2026 01:53,0.2,Delivered
ORD10408,C4092,P1009,31-03-2026 23:37,0,Delivered
ORD10409,C4657,P1048,13-02-2026 13:47,0.15,Cancelled
ORD10410,C8259,P1074,07-01-2026 23:02,0,Delivered
ORD10411,C4543,P1089,22-01-2026 21:05,0.1,Delivered
ORD10412,C8022,P1065,02-01-2026 11:05,0,Delivered
ORD10413,C6226,P1025,12-01-2026 21:33,0,Delivered
ORD10414,C2893,P1051,23-02-2026 12:10,0,Delivered
ORD10415,C3869,P1094,12-03-2026 01:09,0,Delivered
ORD10416,C6440,P1063,30-03-2026 19:49,0,Cancelled
ORD10417,C7115,P1043,10-03-2026 10:28,0.1,Delivered
ORD10418,C8238,P1034,24-02-2026 12:30,0,Delivered
ORD10419,C5671,P1015,20-02-2026 14:47,0,Cancelled
